fname,auc
2009-01-01_2020-08-21-6.0#-3.0#99.0#102.0#VAR,0.822164
2009-01-01_2020-08-21-33.0#-30.0#-75.0#-72.0#VAR,0.926752
2009-01-01_2020-08-213.0#6.0#96.0#99.0#VAR,0.662783
2009-01-01_2020-08-2148.0#51.0#156.0#159.0#VAR,0.604307
2009-01-01_2020-08-2145.0#48.0#153.0#156.0#VAR,0.698757
2009-01-01_2020-08-21-6.0#-3.0#141.0#144.0#VAR,0.893311
2009-01-01_2020-08-2154.0#57.0#162.0#165.0#VAR,0.852785
2009-01-01_2020-08-216.0#9.0#-84.0#-81.0#VAR,0.759760
2009-01-01_2020-08-21-6.0#-3.0#132.0#135.0#VAR,0.848297
2009-01-01_2020-08-2124.0#27.0#123.0#126.0#VAR,0.702858
2009-01-01_2020-08-2136.0#39.0#27.0#30.0#VAR,0.752185
2009-01-01_2020-08-2160.0#63.0#-153.0#-150.0#VAR,0.832453
2009-01-01_2020-08-2133.0#36.0#135.0#138.0#VAR,0.828776
2009-01-01_2020-08-21-24.0#-21.0#177.0#180.0#VAR,0.858063
2009-01-01_2020-08-2139.0#42.0#72.0#75.0#VAR,0.736293
2009-01-01_2020-08-2121.0#24.0#93.0#96.0#VAR,0.750244
2009-01-01_2020-08-21-30.0#-27.0#-69.0#-66.0#VAR,0.830643
2009-01-01_2020-08-21-39.0#-36.0#174.0#177.0#VAR,0.680456
2009-01-01_2020-08-210.0#3.0#93.0#96.0#VAR,0.763483
2009-01-01_2020-08-2130.0#33.0#48.0#51.0#VAR,0.870384
2009-01-01_2020-08-2142.0#45.0#141.0#144.0#VAR,0.688414
2009-01-01_2020-08-21-6.0#-3.0#138.0#141.0#VAR,0.868212
2009-01-01_2020-08-21-33.0#-30.0#-69.0#-66.0#VAR,0.773150
2009-01-01_2020-08-21-36.0#-33.0#177.0#180.0#VAR,0.898103
2009-01-01_2020-08-2154.0#57.0#159.0#162.0#VAR,0.818160
2009-01-01_2020-08-2127.0#30.0#54.0#57.0#VAR,0.747150
2009-01-01_2020-08-2124.0#27.0#93.0#96.0#VAR,0.764592
2009-01-01_2020-08-21-24.0#-21.0#171.0#174.0#VAR,0.864403
2009-01-01_2020-08-2127.0#30.0#51.0#54.0#VAR,0.750182
2009-01-01_2020-08-2130.0#33.0#-117.0#-114.0#VAR,0.701411
2009-01-01_2020-08-21-3.0#0.0#129.0#132.0#VAR,0.835159
2009-01-01_2020-08-210.0#3.0#120.0#123.0#VAR,0.775854
2009-01-01_2020-08-2115.0#18.0#120.0#123.0#VAR,0.719558
2009-01-01_2020-08-21-24.0#-21.0#-72.0#-69.0#VAR,0.814605
2009-01-01_2020-08-21-3.0#0.0#120.0#123.0#VAR,0.778438
2009-01-01_2020-08-21-27.0#-24.0#-72.0#-69.0#VAR,0.730486
2009-01-01_2020-08-21-6.0#-3.0#126.0#129.0#VAR,0.780113
2009-01-01_2020-08-21-9.0#-6.0#102.0#105.0#VAR,0.835077
2009-01-01_2020-08-21-18.0#-15.0#168.0#171.0#VAR,0.687113
2009-01-01_2020-08-21-12.0#-9.0#123.0#126.0#VAR,0.703158
2009-01-01_2020-08-2130.0#33.0#138.0#141.0#VAR,0.694135
2009-01-01_2020-08-21-9.0#-6.0#144.0#147.0#VAR,0.952724
2009-01-01_2020-08-2136.0#39.0#144.0#147.0#VAR,0.851932
2009-01-01_2020-08-2127.0#30.0#129.0#132.0#VAR,0.753045
2009-01-01_2020-08-2112.0#15.0#93.0#96.0#VAR,0.585246
2009-01-01_2020-08-21-21.0#-18.0#-69.0#-66.0#VAR,0.719345
2009-01-01_2020-08-21-6.0#-3.0#135.0#138.0#VAR,0.749131
2009-01-01_2020-08-2127.0#30.0#126.0#129.0#VAR,0.700498
2009-01-01_2020-08-21-48.0#-45.0#165.0#168.0#VAR,0.800251
2009-01-01_2020-08-2115.0#18.0#144.0#147.0#VAR,0.827967
2009-01-01_2020-08-2130.0#33.0#129.0#132.0#VAR,0.787836
2009-01-01_2020-08-2151.0#54.0#-168.0#-165.0#VAR,0.674778
2009-01-01_2020-08-21-12.0#-9.0#111.0#114.0#VAR,0.871583
2009-01-01_2020-08-216.0#9.0#93.0#96.0#VAR,0.858940
2009-01-01_2020-08-219.0#12.0#141.0#144.0#VAR,0.790661
2009-01-01_2020-08-21-45.0#-42.0#171.0#174.0#VAR,0.759602
2009-01-01_2020-08-2136.0#39.0#18.0#21.0#VAR,0.670555
2009-01-01_2020-08-21-3.0#0.0#-81.0#-78.0#VAR,0.624976
2009-01-01_2020-08-21-12.0#-9.0#114.0#117.0#VAR,0.764639
2009-01-01_2020-08-219.0#12.0#-63.0#-60.0#VAR,0.769850
2009-01-01_2020-08-2115.0#18.0#-93.0#-90.0#VAR,0.781182
2009-01-01_2020-08-2151.0#54.0#-174.0#-171.0#VAR,0.792780
2009-01-01_2020-08-2121.0#24.0#144.0#147.0#VAR,0.767335
2009-01-01_2020-08-2127.0#30.0#102.0#105.0#VAR,0.760488
2009-01-01_2020-08-2115.0#18.0#147.0#150.0#VAR,0.986100
2009-01-01_2020-08-2133.0#36.0#21.0#24.0#VAR,0.760927
2009-01-01_2020-08-21-9.0#-6.0#120.0#123.0#VAR,0.805308
2009-01-01_2020-08-21-9.0#-6.0#108.0#111.0#VAR,0.865728
2009-01-01_2020-08-21-12.0#-9.0#117.0#120.0#VAR,0.761356
2009-01-01_2020-08-21-3.0#0.0#132.0#135.0#VAR,0.743831
2009-01-01_2020-08-21-9.0#-6.0#156.0#159.0#VAR,0.758529
